latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
64,,0.9137067794799805,-0.035271859169006346,0.9078181266784668,,,1.0,0.012015353022394953,0.08786625217747043,1.0,0.001,1.0,0.0001,0.017638176631629216,0.017168124307047675,0.0743132290002462,2291.2593103357262
128,,0.8923251628875732,-0.04759153425693512,0.8610710144042969,,,1.0,0.01065453645345327,0.08026721026446368,1.0,0.001,1.0,0.0001,0.0006269807016832527,0.010859504650422448,0.12059086963937089,1897.7379711254223
32,,0.9397603273391724,-0.009476516395807266,0.9130215644836426,,,1.0,0.006663986154504724,0.06461915712098817,1.0,0.001,1.0,0.0001,0.018139058871142696,0.008946827147156,0.08169904029047168,1361.240153544658
64,,0.9069936275482178,-0.04146761894226074,0.8925799369812012,,,1.0,0.012499499965358424,0.08916174398886191,1.0,0.001,1.0,0.0001,0.062276197512432734,0.01761165419845162,0.09826584442241772,1912.701262602935
128,,0.8788433074951172,-0.06117144227027893,0.8753387451171875,,,1.0,0.015623119715097788,0.09730925688872466,1.0,0.001,1.0,0.0001,0.0037103315474736076,0.018094448574088717,0.15553628270690506,2181.6840061497046
32,,0.9314695000648499,-0.019117560982704163,0.9253240585327148,,,0.9986486486486487,0.008068167841112292,0.07091645936708192,0.9993243243243243,0.001,1.0,0.0001,0.00027877613796885563,0.00987784202034409,0.07456061807838646,1373.3365824931377
64,,0.9108046889305115,-0.03783225119113922,0.8975845336914062,,,1.0,0.013902997970581055,0.09246030240445524,1.0,0.001,1.0,0.0001,0.005638014915618712,0.010025537163774306,0.0987230313790811,1791.3214903135558
128,,0.8573172688484192,-0.0301483690738678,0.8361005783081055,,,1.0,0.016355062175441432,0.10033442523028399,1.0,0.001,1.0,0.0001,0.0011531723084710786,0.020173332616183405,0.16635734326130636,1861.7473738386825
32,,0.9401788115501404,-0.035966649651527405,0.9272071838378906,,,1.0,0.00953122667364172,0.07634984609243033,1.0,0.001,1.0,0.0001,0.0037847253685892633,0.01530051075324819,0.07893402512009079,1591.9659060916385
64,,0.9171165823936462,-0.05102967619895935,0.8961734771728516,,,1.0,0.01073473208659404,0.08095491770151499,1.0,0.001,1.0,0.0001,0.004826338129704881,0.008087457138793292,0.11997376180983879,1611.5507301124367
