latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train
1,,0.8009962439537048,-0.006224490702152252,0.7778568267822266,,,0.2702702702702703,0.3897451452306799,0.4726924586940456,0.5684684684684684,0.001,1.0,0.0001,2.1896500845213196,0.5995135319394034,0.18857480867488965,0.9183562994003296
2,,0.9306133389472961,-0.0004849025048315525,0.892263126373291,,,1.0,0.002773325507705276,0.039107397440317514,1.0,0.001,1.0,0.0001,0.7334576780731613,0.06825064681470394,0.08569608507929621,1.0760022401809692
3,,0.9863219857215881,-0.021978190541267394,0.9676375389099121,,,1.0,0.0023606126372878616,0.030307950200261297,1.0,0.001,1.0,0.0001,0.004773992181415795,0.03342942322126111,0.08182309447108088,1.1362437009811401
4,,0.9914940595626831,-0.005783303454518318,0.9854009628295899,,,1.0,0.0007029894235971812,0.019236835273536475,1.0,0.001,1.0,0.0001,0.0002869262815865285,0.001297858129161083,0.014948120793780766,1.2328895330429077
5,,0.991992175579071,-0.024635258316993713,0.9871052742004395,,,1.0,0.0005556928950387079,0.017922798362938135,1.0,0.001,1.0,0.0001,0.00045409867271774674,0.0005556928686879424,0.00793748691275313,1.2321208715438843
6,,0.9912998080253601,-0.01684352308511734,0.9843638420104981,,,1.0,0.0008344521393647065,0.019702956483170792,1.0,0.001,1.0,0.0001,0.0004175411404749202,0.0026116752839722744,0.01647239118009,1.2309272289276123
7,,0.9890914559364319,-0.04817620217800141,0.9793752670288086,,,1.0,0.00110475340405026,0.02270815050279772,1.0,0.001,1.0,0.0001,0.0023109399339158996,0.009738601832273038,0.03337569655598821,1.1887192726135254
8,,0.9911054968833923,-0.012696455419063567,0.9848328590393066,,,1.0,0.000729424727929605,0.019289409792101062,1.0,0.001,1.0,0.0001,0.00031602050227308144,0.0008372386513951209,0.009936439024435507,1.235638976097107
9,,0.9929665327072144,-0.02134997397661209,0.9904376029968261,,,1.0,0.0009972325853399328,0.01967184608047073,1.0,0.001,1.0,0.0001,0.00030513118533260266,0.003640662969996196,0.009567338067132074,1.2374440431594849
10,,0.9920436143875122,-0.019195689260959624,0.9820019721984863,,,1.0,0.0008312992147497229,0.021671171446104306,1.0,0.001,1.0,0.0001,0.000933209725583249,0.001063150227875323,0.0168838927874694,1.2274287939071655
