latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,learning_rate,correlation_dis reonstructed equations,valid reconstructed equations
16,-0.08470594882965088,0.6458739638328552,-0.11685677766799926,0.6501075267791748,21,0.9986111111111111,0.9916666666666667,1.76821427885443e-05,0.003467133641242981,0.001,0.8614964485168457,15.0
16,-0.15394021570682526,0.47824037075042725,-0.12753010988235475,0.47161111831665037,16,0.9930555555555556,0.9583333333333334,0.0001555042496571938,0.009424358606338501,0.01,0.7085258364677429,26.0
16,-0.15930627286434174,0.21653158962726593,-0.18762749433517456,0.21010394096374513,0,0.9402777777777778,0.7583333333333333,0.05217024485270182,0.1907499313354492,0.1,0.22653158009052277,22.0
16,-0.13309995830059052,0.260021448135376,-0.15696414709091186,0.30645265579223635,54,0.3416666666666667,0.0,0.0977408250172933,0.23854729334513347,1e-05,0.0,0.0
16,-0.08978014439344406,0.471506267786026,-0.08098309636116027,0.45321316719055177,70,0.7861111111111111,0.25833333333333336,0.001014448640247186,0.02415187954902649,0.0001,0.6077025532722473,8.0
16,-0.12934286892414093,0.39733079075813293,-0.13933812379837035,0.46513948440551756,15,0.9944444444444445,0.9833333333333333,0.014585645993550618,0.09471805890401204,0.001,0.4803156852722168,13.0
16,-0.20017845928668976,0.42628857493400574,-0.22020237445831298,0.3939303159713745,84,0.9875,0.9333333333333333,0.025921597083409628,0.1327486515045166,0.01,0.6992989182472229,7.0
16,-0.10357093811035156,0.35278794169425964,-0.10667567253112793,0.35330088138580323,86,0.9583333333333334,0.7916666666666666,0.003939722975095113,0.04889545440673828,0.1,0.40481802821159363,13.0
16,-0.16478323936462402,0.36392560601234436,-0.16894402503967285,0.34390332698822024,54,0.34305555555555556,0.0,0.13659407297770182,0.276971689860026,1e-05,0.0,0.0
16,-0.11107567697763443,0.24983297288417816,-0.14852310419082643,0.3260474443435669,32,0.7958333333333333,0.31666666666666665,0.000695146123568217,0.0203101913134257,0.0001,0.6826179623603821,12.0
16,-0.08538202196359634,0.6264508962631226,-0.10007416009902954,0.59898362159729,40,0.9652777777777778,0.8833333333333333,6.68818907191356e-05,0.006494867304960887,0.001,0.8836761116981506,21.0
16,-0.2051810622215271,0.49847567081451416,-0.19758810997009277,0.4801374912261963,70,0.9791666666666666,0.8916666666666667,0.025377496083577474,0.11941711107889812,0.01,0.15534427762031555,22.0
16,-0.12313223630189896,0.20761369168758392,-0.12832264900207518,0.2601224184036255,7,0.9666666666666667,0.825,0.017270644505818684,0.10759681860605876,0.1,0.17730554938316345,11.0
16,-0.13954894244670868,0.3074377477169037,-0.16763678789138795,0.2993701219558716,78,0.3486111111111111,0.025,0.10478962262471517,0.24278494517008464,1e-05,0.0,0.0
16,-0.12810742855072021,0.4849182665348053,-0.12008299827575683,0.4690962791442871,45,0.7847222222222222,0.3333333333333333,0.0008012934277455013,0.021610258022944133,0.0001,0.4611814618110657,13.0
16,-0.10226402431726456,0.642566978931427,-0.13165239095687867,0.5587987899780273,6,0.9652777777777778,0.9333333333333333,1.1445059014173846e-05,0.002759779989719391,0.001,0.8155748844146729,17.0
16,-0.2403578758239746,0.2309277504682541,-0.2365194082260132,0.3138383626937866,31,0.9833333333333333,0.9,0.011532562971115112,0.08328266143798828,0.01,0.2498735934495926,11.0
