,x,y,z,Category_prefix,Category
6624,0.5574041,0.66007847,-1.1680367,"['+', 'c_1', 'asin', 'abs', 'x_1', '<PAD>']",(0.02+asin(abs(x_1)))
6625,0.8194678,-0.46452355,-2.274671,"['max', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","max(0.13,x_1)"
6626,1.185709,-2.8375657,0.7829305,"['-', 'asin', 'x_1', 'max', 'c_1', 'x_1']","(asin(x_1)-max(0.38,x_1))"
6627,0.13531253,-1.5516312,0.11907196,"['acos', 'cos', '+', 'c_1', 'abs', 'x_1']",acos(cos((0.65+abs(x_1))))
6628,0.24006492,0.41997835,-0.18798648,"['exp', 'tan', 'min', 'c_1', 'x_1', '<PAD>']","exp(tan(min(0.85,x_1)))"
6629,1.2598464,0.7046517,-0.99631083,"['exp', 'acos', '*', 'c_1', 'x_1', '<PAD>']",exp(acos((0.24*x_1)))
6630,0.105866194,0.6134079,-0.61895174,"['**', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.99**x_1)
6631,-0.40055585,0.6033229,-0.20792806,"['*', 'x_1', '-', '1', 'sin', 'x_1']",(x_1*(1-sin(x_1)))
6632,0.08553755,-1.258195,-0.6565335,"['+', 'x_1', 'sin', '+', 'c_1', 'x_1']",(x_1+sin((0.74+x_1)))
6633,0.20584273,-1.4061682,0.91653097,"['+', '/', 'c_1', 'x_1', 'cos', 'x_1']",((0.09/x_1)+cos(x_1))
6634,0.47219446,0.98579,1.612773,"['max', '*', 'x_1', 'c_1', 'asin', 'x_1']","max((x_1*0.94),asin(x_1))"
6635,-0.18774948,-1.6007493,-0.13942301,"['log', '+', 'c_1', 'abs', 'x_1', '<PAD>']",log((0.81+abs(x_1)))
6636,0.45504698,0.56617844,-0.16397482,"['**', 'x_1', '2', '<PAD>', '<PAD>', '<PAD>']",(x_1**2)
6637,0.087152675,1.0967951,-0.34889492,"['min', '+', 'x_1', 'c_1', 'x_1', '<PAD>']","min((x_1+0.14),x_1)"
6638,-0.15659058,0.2459796,2.3102136,"['*', '-', 'c_1', 'x_1', 'sin', 'x_1']",((0.06-x_1)*sin(x_1))
6639,-0.4200718,0.1862568,-0.86104333,"['*', '2', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(2*x_1)
6640,1.0171198,1.573428,0.004386723,"['acos', 'min', 'c_1', 'x_1', '<PAD>', '<PAD>']","acos(min(0.86,x_1))"
6641,-0.24934268,1.0942066,-0.16901867,"['+', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.84+x_1)
6642,0.32504162,0.210693,1.0930667,"['**', 'c_1', '*', 'x_1', 'exp', 'x_1']",(1.0**(x_1*exp(x_1)))
6643,7.4947762,2.7996576,0.4560765,"['**', 'max', 'acos', 'x_1', 'x_1', 'c_1']","(max(acos(x_1),x_1)**0.85)"
6644,0.14516175,0.48799917,0.052541643,"['tan', '**', 'c_1', 'x_1', '<PAD>', '<PAD>']",tan((0.96**x_1))
6645,-1.0271888,0.35897365,0.24483848,"['min', '+', 'c_1', 'exp', 'x_1', 'x_1']","min((0.75+exp(x_1)),x_1)"
6646,0.41473806,0.7514959,1.7651485,"['-', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.19-x_1)
6647,0.26257,-2.0495176,1.1879249,"['min', '*', 'c_1', 'x_1', 'sin', 'x_1']","min((0.98*x_1),sin(x_1))"
6648,-0.21062896,-0.23289612,1.5154691,"['abs', 'acos', 'sin', '-', 'c_1', 'x_1']",abs(acos(sin((0.17-x_1))))
6649,0.18747519,-0.30719066,-0.12096805,"['abs', '+', 'c_1', 'exp', 'x_1', '<PAD>']",abs((0.08+exp(x_1)))
6650,-3.058933,0.49508366,1.6961288,"['min', 'c_1', '-', 'abs', 'x_1', 'x_1']","min(0.21,(abs(x_1)-x_1))"
6651,0.93993783,1.6696641,0.38239238,"['sin', 'sqrt', 'asin', '**', 'x_1', '2']",sin(sqrt(asin((x_1**2))))
6652,0.05312013,0.8351911,-1.0733615,"['min', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","min(0.95,x_1)"
6653,-0.85431063,-2.9403553,-0.6030356,"['/', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.56/x_1)
6654,1.2786423,2.087203,0.5171404,"['abs', 'tan', '/', 'x_1', 'c_1', '<PAD>']",abs(tan((x_1/0.84)))
6655,0.8787493,1.3724319,-1.0092599,"['abs', '-', 'c_1', 'cos', 'abs', 'x_1']",abs((0.48-cos(abs(x_1))))
6656,0.61751604,-0.25473565,-2.2225382,"['abs', 'tan', 'max', 'c_1', 'x_1', '<PAD>']","abs(tan(max(0.3,x_1)))"
6657,0.035008453,0.525705,0.21877667,"['cos', 'asin', '/', 'c_1', 'exp', 'x_1']",cos(asin((0.22/exp(x_1))))
6658,-0.116634294,0.34184638,-1.1522406,"['-', 'x_1', '/', 'x_1', 'c_1', '<PAD>']",(x_1-(x_1/0.61))
6659,-0.55391765,0.6001295,-0.24290729,"['min', '-', 'c_1', 'x_1', 'asin', 'x_1']","min((0.78-x_1),asin(x_1))"
6660,1.2133251,0.15769497,0.80780786,"['*', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.93*x_1)
6661,0.32239193,1.1770346,0.16039956,"['/', 'min', 'acos', 'x_1', 'x_1', 'c_1']","(min(acos(x_1),x_1)/0.39)"
6662,0.33825013,-1.3638908,0.85092133,"['sin', 'min', 'c_1', 'x_1', '<PAD>', '<PAD>']","sin(min(0.46,x_1))"
6663,-0.6595677,0.48880154,0.3051636,"['**', 'c_1', 'asin', 'cos', 'sin', 'x_1']",(0.53**asin(cos(sin(x_1))))
6664,0.0907511,-0.43233925,0.90239006,"['+', 'c_1', 'acos', 'sin', 'x_1', '<PAD>']",(0.38+acos(sin(x_1)))
6665,-0.22211823,0.7298589,0.014302492,"['/', 'min', 'acos', 'x_1', 'x_1', 'c_1']","(min(acos(x_1),x_1)/0.31)"
6666,-0.40751782,-1.3992472,0.49544674,"['max', '/', 'x_1', 'c_1', 'x_1', '<PAD>']","max((x_1/0.28),x_1)"
6667,0.4954333,-0.978916,-0.4721694,"['acos', 'asin', '*', 'c_1', 'x_1', '<PAD>']",acos(asin((0.8*x_1)))
6668,2.2176495,-1.5759828,-0.12654075,"['sin', 'acos', '/', 'c_1', 'cos', 'x_1']",sin(acos((0.29/cos(x_1))))
6669,-0.8521111,0.6606756,-0.25339562,"['sin', 'cos', 'tan', 'min', 'c_1', 'x_1']","sin(cos(tan(min(0.84,x_1))))"
6670,-2.0843844,0.769914,0.37572658,"['+', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.26+x_1)
6671,-0.16646656,0.18090807,-0.97205025,"['+', 'c_1', '/', 'x_1', 'tan', 'x_1']",(0.45+(x_1/tan(x_1)))
6672,-0.24410886,-0.060437433,-0.61400306,"['**', 'x_1', '2', '<PAD>', '<PAD>', '<PAD>']",(x_1**2)
6673,2.0718658,0.54602873,-0.80389154,"['sin', 'exp', '-', 'c_1', 'x_1', '<PAD>']",sin(exp((0.15-x_1)))
6674,0.11449061,1.2187452,-0.5185128,"['exp', '/', 'x_1', '2', '<PAD>', '<PAD>']",exp((x_1/2))
6675,-0.29883295,0.6949929,1.2586358,"['tan', 'abs', '/', 'c_1', 'tan', 'x_1']",tan(abs((0.1/tan(x_1))))
6676,0.16900645,-0.7201451,1.9808495,"['+', 'c_1', 'sin', 'x_1', '<PAD>', '<PAD>']",(0.9+sin(x_1))
6677,0.5511461,-0.037521522,1.1770437,"['tan', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","tan(max(0.82,x_1))"
6678,0.078449056,-0.96785164,0.6717675,"['tan', '+', 'c_1', 'x_1', '<PAD>', '<PAD>']",tan((0.15+x_1))
6679,0.21111481,0.1928969,0.396383,"['exp', 'sqrt', '**', 'c_1', 'x_1', '<PAD>']",exp(sqrt((0.82**x_1)))
6680,-0.7597258,-0.6459098,-0.59181035,"['sin', '**', 'x_1', '2', '<PAD>', '<PAD>']",sin((x_1**2))
6681,0.41547137,-0.82678187,-2.7412863,"['tan', 'exp', '**', 'c_1', 'x_1', '<PAD>']",tan(exp((0.84**x_1)))
6682,0.94640315,0.5231552,-0.26402602,"['sin', '*', 'c_1', 'asin', 'x_1', '<PAD>']",sin((0.6*asin(x_1)))
6683,0.85629916,-0.63336986,0.92793787,"['cos', '+', 'c_1', 'sin', 'x_1', '<PAD>']",cos((0.43+sin(x_1)))
6684,-0.7077701,0.27365473,1.1057533,"['/', 'sqrt', 'max', 'c_1', 'x_1', 'x_1']","(sqrt(max(0.46,x_1))/x_1)"
6685,0.74492496,0.84518594,0.2965418,"['tan', '+', 'c_1', 'x_1', '<PAD>', '<PAD>']",tan((0.09+x_1))
6686,-0.86048204,0.8643657,-0.47077996,"['max', 'asin', 'x_1', '/', 'c_1', 'x_1']","max(asin(x_1),(0.41/x_1))"
6687,-0.092770085,0.3058614,-2.1670718,"['max', 'c_1', 'min', 'tan', 'x_1', 'x_1']","max(0.85,min(tan(x_1),x_1))"
6688,-0.73437613,0.34675056,0.9415561,"['exp', '+', 'c_1', 'x_1', '<PAD>', '<PAD>']",exp((0.21+x_1))
6689,0.22799028,-0.3492597,-1.99154,"['acos', '**', 'cos', 'x_1', 'c_1', '<PAD>']",acos((cos(x_1)**0.87))
6690,1.704457,0.20295432,0.34173343,"['asin', '**', 'c_1', 'acos', 'abs', 'x_1']",asin((0.54**acos(abs(x_1))))
6691,0.033590265,0.6537521,-0.7572667,"['min', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","min(0.01,x_1)"
6692,0.027130745,-0.4390111,-0.73616314,"['exp', '-', 'c_1', 'x_1', '<PAD>', '<PAD>']",exp((0.08-x_1))
6693,-0.26882252,-0.036506943,-1.4340491,"['sin', 'tan', '**', 'c_1', 'x_1', '<PAD>']",sin(tan((0.05**x_1)))
6694,0.63922954,-2.3377593,-0.0789883,"['tan', '-', 'exp', 'x_1', 'c_1', '<PAD>']",tan((exp(x_1)-0.66))
6695,0.8444141,-2.522162,-0.62579614,"['max', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","max(0.88,x_1)"
6696,0.2352124,0.5303706,-1.1378704,"['+', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.89+x_1)
6697,0.7517409,0.07479078,-1.6499798,"['max', 'cos', 'x_1', '-', 'c_1', 'x_1']","max(cos(x_1),(0.3-x_1))"
6698,-0.3318476,0.33300704,0.79445356,"['/', 'sin', 'x_1', 'c_1', '<PAD>', '<PAD>']",(sin(x_1)/0.29)
6699,-0.16246554,1.1686112,-0.40189767,"['exp', 'sin', 'cos', '*', '2', 'x_1']",exp(sin(cos((2*x_1))))
6700,-0.33951885,0.67944014,1.3831561,"['*', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.05*x_1)
6701,-0.40982062,0.1905671,-1.7238408,"['/', '+', 'c_1', 'x_1', 'cos', 'x_1']",((0.2+x_1)/cos(x_1))
6702,-0.89669883,0.18880531,-0.7146018,"['tan', 'sin', 'acos', '*', 'x_1', 'c_1']",tan(sin(acos((x_1*0.97))))
6703,0.40707046,0.042417806,-1.5423708,"['tan', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","tan(max(0.18,x_1))"
6704,0.20006281,0.4181603,2.206556,"['max', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","max(0.74,x_1)"
6705,-0.94573385,-0.15048741,0.061034657,"['sin', '*', '**', 'c_1', 'x_1', 'x_1']",sin(((0.26**x_1)*x_1))
6706,-0.097713664,-0.2275607,-0.58136624,"['cos', 'min', '*', 'x_1', '2', 'x_1']","cos(min((x_1*2),x_1))"
6707,0.07050468,0.5931984,-0.73589015,"['min', '*', 'x_1', 'c_1', 'x_1', '<PAD>']","min((x_1*0.87),x_1)"
6708,-0.9803882,1.1873169,0.09801524,"['tan', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","tan(max(0.94,x_1))"
6709,-0.66229177,0.53234166,1.4311297,"['asin', 'cos', '*', '2', 'x_1', '<PAD>']",asin(cos((2*x_1)))
6710,0.7232141,0.8108549,0.408703,"['exp', '**', 'c_1', 'sqrt', 'abs', 'x_1']",exp((0.95**sqrt(abs(x_1))))
6711,-0.4382494,1.1819829,-0.084873095,"['exp', 'min', 'c_1', 'x_1', '<PAD>', '<PAD>']","exp(min(0.86,x_1))"
6712,-0.21401079,0.14125346,-0.44647288,"['abs', 'max', '*', 'x_1', '2', 'x_1']","abs(max((x_1*2),x_1))"
6713,-0.1847923,-0.16563955,1.296021,"['**', 'c_1', '+', 'x_1', 'asin', 'x_1']",(0.22**(x_1+asin(x_1)))
6714,-0.5334325,-0.5049419,-0.5739097,"['max', 'acos', 'x_1', '/', 'x_1', 'c_1']","max(acos(x_1),(x_1/0.92))"
6715,-1.0294328,0.55297464,-0.875105,"['*', 'x_1', '+', 'abs', 'x_1', '1']",(x_1*(abs(x_1)+1))
6716,-2.0392115,0.6785604,-0.87074095,"['+', 'c_1', 'asin', 'x_1', '<PAD>', '<PAD>']",(0.93+asin(x_1))
6717,2.3477383,-1.1590637,-1.8046789,"['**', 'sqrt', 'sin', 'cos', 'x_1', 'c_1']",(sqrt(sin(cos(x_1)))**0.21)
6718,-1.2287362,-2.4987109,0.54266226,"['sqrt', '-', '1', 'x_1', '<PAD>', '<PAD>']",sqrt((1-x_1))
6719,-0.7468704,0.39942506,-0.22340441,"['-', '/', 'tan', 'x_1', 'c_1', 'x_1']",((tan(x_1)/0.66)-x_1)
6720,0.40042198,-0.3154607,-2.08162,"['abs', '+', 'c_1', 'abs', 'sin', 'x_1']",abs((0.44+abs(sin(x_1))))
6721,-0.6121372,-0.78236413,1.1426654,"['max', '/', 'asin', 'x_1', 'x_1', 'c_1']","max((asin(x_1)/x_1),0.03)"
6722,-1.2351247,0.040034164,0.3621782,"['+', 'c_1', 'abs', 'x_1', '<PAD>', '<PAD>']",(0.52+abs(x_1))
6723,0.48662388,-0.89768034,-0.45727062,"['cos', '-', 'c_1', 'abs', 'x_1', '<PAD>']",cos((0.01-abs(x_1)))
6724,-0.38579482,-3.0320797,-0.4117447,"['abs', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","abs(max(0.81,x_1))"
