latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
13,,0.9542083740234375,-0.03794380724430084,0.9412506103515625,,,1.0,0.006092275155557168,0.06178692998112859,1.0,0.001,1.0,0.0001,0.003933001735743813,0.007155834067914937,0.05296298619863149,1068.1873746304898
14,,0.9531930088996887,-0.019649998843669893,0.9422849655151367,,,1.0,0.009052927429611618,0.07581148405332823,1.0,0.001,1.0,0.0001,0.0030832730013030784,0.007328012133822651,0.06136286903072048,1048.6083044103675
15,,0.9523095488548279,-0.010277146100997924,0.9447764396667481,,,0.995945945945946,0.007869533590368322,0.06911321072965054,0.9977477477477478,0.001,1.0,0.0001,0.001051754265702314,0.006932026536732509,0.0714996505428005,1200.6927861394108
16,,0.9520847797393799,-0.03631128966808319,0.9330343246459961,,,1.0,0.0058313614613301045,0.06015139399348079,1.0,0.001,1.0,0.0001,0.0001464109572996652,0.009104449327128965,0.06470452208776732,1071.2420233649177
1,,0.7416641712188721,0.0015109356492757798,0.7149138927459717,,,0.23243243243243245,0.37964155867293076,0.447029278729413,0.5209459459459459,0.001,1.0,0.0001,2.135402933971302,0.7503959721810108,0.24751202641306697,340.95066379856416
2,,0.8927304148674011,0.007776443660259247,0.8453871726989746,,,1.0,0.005826050526386983,0.0593482764991554,1.0,0.001,1.0,0.0001,0.01627746396823912,0.034975619609090125,0.1479553628612209,669.4509034027924
3,,0.9543938040733337,-0.02064245045185089,0.9470059394836425,,,1.0,0.008734981433765308,0.07265577574033995,1.0,0.001,1.0,0.0001,0.001189072359380048,0.008749323204864521,0.05821086184398548,632.2760232461466
4,,0.9771698117256165,-0.016567571461200713,0.9684946060180664,,,1.0,0.007520499100556245,0.06969224053460199,1.0,0.001,1.0,0.0001,0.0007392256011371501,0.011255639882103817,0.03371738340403583,875.9555251662796
5,,0.9745166897773743,-0.011615636944770812,0.9670839309692383,,,1.0,0.006198390754493507,0.06053628663758974,1.0,0.001,1.0,0.0001,0.0007664637108777046,0.007443151814309326,0.033249034269435984,889.3418422389675
6,,0.9586256146430969,-0.04042960405349731,0.9538795471191406,,,1.0,0.00856998417828534,0.07536222612535631,1.0,0.001,1.0,0.0001,0.0009483292585197912,0.022406629790124054,0.04904232154021392,760.3964571566195
7,,0.9650839567184448,-0.020918425917625428,0.9553645133972168,,,1.0,0.0074874478417473874,0.06987613987278293,1.0,0.001,1.0,0.0001,0.0734778666126265,0.057751608534237824,0.06813662599872898,988.3573674382391
8,,0.9660810828208923,-0.016393253207206727,0.9538114547729493,,,1.0,0.006607837934751768,0.06352556589487436,1.0,0.001,1.0,0.0001,0.0018388974563217867,0.005972610415286712,0.04262169631751808,908.7931172138935
