latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlation_dis reonstructed equations,learning_rate,accuracy (individual),weight
4,,0.7700488567352295,-0.026640507578849792,0.7145866870880127,,,1.0,0.0032535227569373878,0.042927894076785524,1e-05,0.06492952992384499,0.004811370204127318,0.2902075954385706,8791.623766100085,,0.0001,1.0,1.0
4,,0.9837503433227539,-0.02990453541278839,0.9775768280029297,,,1.0,0.002761531198346937,0.038488439611486486,1e-05,0.005838740739744861,0.02022286785162381,0.02515409202189059,1411.7175062024914,,0.001,1.0,1.0
4,,0.9258546829223633,-0.014545519649982453,0.7313281059265136,,,1.0,0.00572446616920265,0.05647750029692779,1e-05,0.4194145315402263,0.08209871203714125,0.4351236385268134,5665.095429291597,,0.01,1.0,1.0
4,,-0.018179360777139664,0.042769002914428714,-0.010703019797801971,,,0.03783783783783784,48.40682010135135,6.200895402238175,1e-05,55.11673081887735,46.14323621182828,1.0184636341558921,133232.32622466216,,0.1,0.3277027027027027,1.0
4,,0.6356229782104492,-0.09839031100273132,0.5520851135253906,,,0.6702702702702703,0.005730266828794737,0.054896983584842164,1e-05,1.306638646770168,0.005803223337499878,0.4784021200360479,9901.95484058277,,1e-05,0.7364864864864865,1.0
4,,0.9068138003349304,-0.018695105612277985,0.8720257759094239,,,1.0,0.002587644151739172,0.0388475108791042,1e-05,0.0033455351792351417,0.002587644104858407,0.09079859949447014,2283.9424586940454,,0.0001,1.0,1.0
4,,0.9837661385536194,-0.0034600995481014253,0.9792872428894043,,,1.0,0.0020149891440932816,0.03431562475256018,1e-05,0.0008052238857065251,0.0076216530035929505,0.0282136628756652,1429.1566030141469,,0.001,1.0,1.0
4,,0.9518272280693054,-0.03785143792629242,0.7982685089111328,,,1.0,0.006758599667935758,0.06344310657398121,1e-05,0.0010705263486817933,0.003536523223816845,0.22250771039241068,1570.0566521721917,,0.01,1.0,1.0
4,,0.1314883977174759,,,,,0.032432432432432434,64.19304265202703,7.4681640625,1e-05,,,,,,0.1,0.29684684684684687,1.0
4,,0.7841460704803467,-0.0418397068977356,0.7068740844726562,,,0.46621621621621623,0.008769752528216388,0.06366398785565351,1e-05,1.6698162845663123,0.008769752322444441,0.21690914920858434,11325.91139674831,,1e-05,0.7682432432432432,1.0
4,,0.835832417011261,-0.04967193305492401,0.7824361801147461,,,1.0,0.003428070609633987,0.04626092137517156,1e-05,0.016314662423463085,0.005796244141419191,0.20661258778056582,2419.640389107369,,0.0001,1.0,1.0
4,,0.9840443134307861,-0.03264738619327545,0.9802457809448242,,,1.0,0.0016499752933914597,0.031242808780154667,1e-05,0.0007198030668675799,0.005258943250000074,0.02362773144567335,1154.9483906513935,,0.001,1.0,1.0
