latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,learning_rate,accuracy (individual),weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train
4,,0.9593551754951477,-0.006629031151533127,0.9144738197326661,,,0.021621621621621623,8.352436127533784,2.521548709353885,0.1,0.31756756756756754,1.0,10.0,3.9330223025502384,8.428329184248641,0.10257748816464399,1.1601377725601196
4,,0.5686196684837341,-0.04481585919857025,0.5382503509521485,,,0.577027027027027,0.0034278615100963696,0.04840920938027871,1e-05,0.8396396396396396,1.0,10.0,1.4239132823170841,0.003427861478632769,0.4288295894055753,0.6643581390380859
4,,0.8533071875572205,-0.029981634020805357,0.8155677795410157,,,1.0,0.0013347265688148705,0.02878189602413693,0.0001,1.0,1.0,10.0,0.0019879955460153824,0.0015410310730363268,0.194788466434221,1.0566136837005615
4,,0.9908825755119324,-0.01581426113843918,0.9856202125549316,,,1.0,0.001831726447955982,0.025320908829972552,0.001,1.0,1.0,10.0,0.0006258718852689993,0.003782411964887099,0.010540428999307993,1.2323161363601685
4,,0.9655192494392395,-0.014993712306022644,0.8329599380493165,,,1.0,0.00492460856566558,0.05089306186985325,0.01,1.0,1.0,10.0,0.014009006881482294,0.009234757640090695,0.10921545447529973,1.1072005033493042
4,,0.9137850403785706,,,,,0.02837837837837838,8.220267630912161,2.5015011349239864,0.1,0.3153153153153153,1.0,10.0,,,,
4,,0.6671455502510071,0.0015179821290075778,0.6646018505096436,,,0.49324324324324326,0.0025078351433212693,0.037042823997703755,1e-05,0.7673423423423423,1.0,10.0,1.53950650466455,0.002446402271743864,0.3462270917119207,0.7527969479560852
4,,0.7705299854278564,-0.05652509331703186,0.7185169219970703,,,0.9918918918918919,0.004686909752923089,0.05622552407754434,0.0001,0.9932432432432432,1.0,10.0,0.058006145362112974,0.013742007856332773,0.28689057762558395,0.9232853055000305
4,,0.9896551370620728,-0.007323228567838669,0.9777488708496094,,,1.0,0.0018075662690239984,0.02637841508195207,0.001,1.0,1.0,10.0,0.0010595131591528755,0.015237580965952697,0.026117572107830563,1.2243036031723022
4,,0.8980488181114197,-0.0657315969467163,0.7243096351623535,,,1.0,0.009984684634853054,0.08112611512880068,0.01,1.0,1.0,10.0,0.0014001293604598835,0.04646211322019431,0.28963329421507344,0.9898125529289246
4,,0.8478344082832336,,,,,0.02837837837837838,8.90357764991554,2.617829028980152,0.1,0.3292792792792793,1.0,10.0,,,,
