latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individual),accuracy equations,constant MSE,average distance constants,weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train,learning_rate
4,0.008698410354554653,0.7891910672187805,0.03802095651626587,0.5965731620788575,,1.0,1.0,0.0020610293826541387,0.03571709297798775,0.1,0.0010750353968752599,0.0003445972867445341,0.4329602492822183,0.7522901296615601,0.01
4,0.007782673928886652,0.9735581278800964,0.0354852706193924,0.671614122390747,,0.9988738738738738,0.9986486486486487,0.005527292715536582,0.053714602702372785,1,0.0010858960465427387,0.2551530353800469,0.39018299934026357,0.660869836807251,0.01
4,-0.020922308787703514,0.9937417507171631,-0.03312748074531555,0.972407054901123,,1.0,1.0,0.004540573584066855,0.05138038429054054,10,0.005814157684358793,0.012530307612709096,0.018154052463737694,1.219964623451233,0.01
4,-0.01829284057021141,0.9980137944221497,-0.01552140861749649,0.9922948837280273,,0.9988738738738738,0.9986486486486487,0.027063679050754855,0.12423068897144214,100,0.163983495352236,0.18683278600911837,0.003408478723989951,1.2370407581329346,0.01
4,-0.024895915761590004,0.9990733861923218,-0.03211267292499542,0.9987415313720703,,0.9391891891891891,0.9094594594594595,0.1648286974107897,0.30375706440693623,1000,0.3402236202681387,0.16590052963914098,0.0012319853176941742,1.2484030723571777,0.01
4,0.00293224910274148,0.2981955111026764,0.003305976837873459,0.07439833879470825,,1.0,1.0,0.0018998737270767624,0.03434734344482422,0,0.00038444595387822166,0.002183462364120862,0.9084014973124942,0.10795118659734726,0.01
4,-0.03109709732234478,0.7288891673088074,-0.05035308599472046,0.5077816009521484,,1.0,1.0,0.0023506605947339857,0.03591316326244457,0.1,0.00034052778406672786,0.012108791204219734,0.481519583914731,0.6960387825965881,0.01
4,0.002835444640368223,0.9130033850669861,-0.027257418632507323,0.7962581634521484,,1.0,1.0,0.0028062440253592827,0.03563988144333298,1,0.010130639402730693,0.06613919164708539,0.19308619402550362,1.0324262380599976,0.01
4,-0.019687088206410408,0.986982524394989,-0.037318095564842224,0.7911500453948974,,1.0,1.0,0.026265097953177788,0.12524505821434226,10,0.031531363813760316,0.2767606747110148,0.24013989519428564,0.954292356967926,0.01
4,-0.019258979707956314,0.9980491399765015,-0.02400992214679718,0.9863578796386718,,0.9995495495495496,0.9986486486486487,0.04008322793084222,0.12670387061866553,100,0.24050423351896777,0.2793592336411412,0.008536368608474731,1.2426515817642212,0.01
4,-0.01753907836973667,0.9966650605201721,-0.02414977252483368,0.9848473548889161,,0.9912162162162163,0.9878378378378379,0.10406739518449114,0.23606938542546452,1000,0.768232169988993,0.43880521747711543,0.005979403450682356,1.2444498538970947,0.01
4,0.017129695042967796,0.40834128856658936,0.04058433175086975,0.0722520411014557,,1.0,1.0,0.003812963898117478,0.045890137955949116,0,0.00016360909668602854,0.00010491101961265117,0.9341667737509753,0.10288746654987335,0.01
4,-0.03346691653132439,0.7834902405738831,-0.010772594064474107,0.5480545997619629,,1.0,1.0,0.0019155837394095757,0.030994750357962942,0.1,0.0028834347015347433,0.05678844126570668,0.39399258832673767,0.632182240486145,0.01
4,-0.019349277019500732,0.9144941568374634,-0.028029707074165345,0.7668683052062988,,1.0,1.0,0.009069682456351615,0.06925587009739231,1,2.010956287384033,0.04994192719459534,0.22818625134390755,0.9637640714645386,0.01
4,-0.030750460922718048,0.9883273839950562,-0.025717297196388246,0.9813541412353516,,1.0,1.0,0.012973826640361064,0.08812564128154032,10,0.006490955678305614,0.0780067115367667,0.01601638423429953,1.227673888206482,0.01
4,-0.04274963587522507,0.996811032295227,-0.030156680941581727,0.9950884819030762,,1.0,1.0,0.03183824178334829,0.13228134980072848,100,0.010744074669452635,0.12092564292755481,0.0034549896781508986,1.2445241212844849,0.01
4,-0.023059427738189697,0.9989063143730164,-0.032806089520454405,0.9980347633361817,,0.993018018018018,0.977027027027027,0.1260851473421664,0.2512218578441723,1000,0.2274633895706486,0.40009155466749863,0.005457941744778608,1.2468925714492798,0.01
4,0.04860760271549225,0.30669257044792175,0.03356630206108093,0.17465296983718873,,1.0,1.0,0.005597993489858267,0.06415852727116765,0,0.00030666838102734874,0.00015986234231260478,0.8250086694150358,0.17475178837776184,0.01
4,-0.07392618805170059,0.5281959772109985,-0.014325197041034698,0.3799553394317627,,1.0,1.0,0.0011277139186859132,0.023087689683244036,0.1,0.0006007282145956933,0.0016937653071599434,0.6747741248156574,0.6766601204872131,0.01
4,-0.024984141811728477,0.830069899559021,-0.0355703055858612,0.7401357173919678,,1.0,1.0,0.004839134860683132,0.052429926073228994,1,0.12211107568362274,0.15287832351955208,0.34440225201684077,0.9492789506912231,0.01
4,-0.007653555367141962,0.9926932454109192,-0.018120540678501128,0.9879879951477051,,1.0,1.0,0.012145904592565588,0.08100708110912426,10,3.6597702696516707,8.883586110295477,0.0076809436888308135,1.2356812953948975,0.01
4,-0.008465566672384739,0.9961689710617065,-0.014307862520217896,0.9950141906738281,,0.9984234234234234,0.9972972972972973,0.04707097233952703,0.16073350648622256,100,0.03248885555847271,0.1699423013708076,0.002700539054097356,1.2463771104812622,0.01
4,-0.03387783467769623,0.9987984299659729,-0.024255722761154175,0.9984058380126953,,0.9948198198198198,0.9932432432432432,0.07147804466453758,0.19346210376636402,1000,0.3238284554634545,0.37188419921172633,0.001690318455567231,1.2481403350830078,0.01
4,0.003115665167570114,0.22406832873821259,-0.017320731282234193,0.10732678174972535,,0.9993243243243243,0.9986486486486487,0.0049298041575663795,0.0495010943026156,0,0.9499450100434793,0.14903721857715296,0.8777867515344877,0.08451791107654572,0.01
4,-0.004003792069852352,0.8037943243980408,0.0028694259002804757,0.43254899978637695,,1.0,1.0,0.0026300388413506583,0.035032870318438554,0.1,0.0022052318892894765,0.0003852053687788194,0.5137776192781087,0.5799124240875244,0.01
4,-0.02148856781423092,0.9154209494590759,-0.03372361958026886,0.8443001747131348,,1.0,1.0,0.0072651296048550995,0.04789559132344014,1,0.0058418132326993584,0.04285652915368209,0.15727040977091403,1.0724999904632568,0.01
4,-0.02886810339987278,0.9902051091194153,-0.019853782653808594,0.9303793907165527,,1.0,1.0,0.005240074686101965,0.051146605208113385,10,0.040861534697280544,0.08550791344227823,0.03326413760314117,1.2070497274398804,0.01
4,-0.020599940791726112,0.9979343414306641,-0.030408644676208497,0.9656576156616211,,1.0,1.0,0.04739488137734903,0.16318400614970438,100,0.8939244553849504,0.28648559527622686,0.02348577815133172,1.2152066230773926,0.01
4,-0.044692542403936386,0.9990323781967163,-0.043514445424079895,0.9949372291564942,,0.9993243243243243,0.9986486486486487,0.1163566795555321,0.2017012931205131,1000,1.0983595864192859,0.731851680455981,0.008554388542433043,1.2389329671859741,0.01
