latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
4,-0.11223858594894409,0.6248440742492676,-0.07068793773651123,0.6468691349029541,52,,0.4166666666666667,0.06609901189804077,0.21255551973978679,0.8416666666666667,0.01,0.0001,0.6056765814622244,0.0660990048199892,0.32936253647009534,0.09942522241423528
8,-0.09441959857940674,0.6864896416664124,-0.10599554777145385,0.7656032085418701,94,,0.5583333333333333,0.03479628165562947,0.14804684321085612,0.8777777777777778,0.01,0.0001,1.3756464123725891,0.034796283735583224,0.25092487037181854,0.14474949364860853
16,-0.1104893684387207,0.8983990550041199,-0.12412456274032593,0.8888490676879883,73,,0.85,0.01583233376344045,0.08625898361206055,0.9541666666666667,0.01,0.0001,0.8576018065214157,0.01583233297181626,0.11184799671173096,0.18888772651553154
32,-0.07467460632324219,0.846869170665741,-0.08693543672561646,0.7502248287200928,87,,0.7583333333333333,0.01986623207728068,0.11392281850179037,0.9416666666666667,0.01,0.0001,0.541821114718914,0.019866231984148424,0.1581327865521113,0.19814440856377283
64,-0.20479750633239746,0.5756105184555054,-0.14502209424972534,0.5170485496520996,58,,0.9333333333333333,0.012600515286127727,0.08968621889750163,0.9847222222222223,0.01,0.0001,0.22162603866308928,0.012600516900420189,0.4081176469723384,0.16143112008770308
128,-0.12745961546897888,0.687178909778595,-0.11919116973876953,0.674147653579712,76,,0.8583333333333333,0.020653065045674643,0.10867074330647787,0.9625,0.01,0.0001,0.3044625086088975,0.02065306467314561,0.3674364487330119,0.2671142319838206
2,-0.025802820920944214,0.6541302800178528,-0.037277001142501834,0.6196735382080079,80,,0.10833333333333334,0.09523718357086182,0.26413402557373045,0.675,0.01,0.0001,0.9779673963785172,0.0952371892829736,0.38239501416683197,0.04488621776302656
4,-0.06847957521677017,0.5299249887466431,-0.06136540174484253,0.5596097469329834,70,,0.525,0.10118730862935384,0.21509151458740233,0.8791666666666667,0.01,0.0001,0.7212980339924494,0.1011873111128807,0.44895005226135254,0.0802692249417305
8,-0.021295273676514626,0.5982725024223328,-0.09921574592590332,0.6371070861816406,61,,0.6,0.01197527845700582,0.08318730990091959,0.9097222222222222,0.01,0.0001,1.0035535221298535,0.011975277758513888,0.3527441620826721,0.10387028691669305
16,-0.15924791991710663,0.5700957179069519,-0.12276188135147095,0.554527997970581,76,,0.7833333333333333,0.019676870107650755,0.1041536808013916,0.95,0.01,0.0001,0.32954084283361834,0.019676870045562584,0.5107788145542145,0.16361852238575617
32,-0.10267728567123413,0.4679168164730072,-0.11565241813659669,0.6239441394805908,69,,0.8,0.011304898063341777,0.08162840207417806,0.9430555555555555,0.01,0.0001,0.829978458583355,0.01130489818751812,0.48150454958279926,0.2137816846370697
64,-0.09379217028617859,0.6412511467933655,-0.1022641658782959,0.5740519046783448,88,,0.875,0.02348115841547648,0.11035633087158203,0.9722222222222222,0.01,0.0001,0.3430107310414314,0.023481158384432394,0.40151474873224896,0.20780531192819277
128,-0.1852291226387024,0.7676504254341125,-0.19956257343292236,0.7465700149536133,46,,0.4666666666666667,0.013592698176701863,0.08767043749491374,0.8902777777777777,0.01,0.0001,0.5549860248963038,0.01359269767999649,0.17450612286726633,0.26888997356096905
2,0.004237512592226267,0.5834286212921143,-0.03189033269882202,0.6932242393493653,81,,0.05,0.08512057463328043,0.24978836377461752,0.7125,0.01,0.0001,1.4317599733670552,0.08512057115634282,0.38879571855068207,0.07539162101844947
4,-0.08739849179983139,0.7637525200843811,-0.10086487531661988,0.8514870643615723,94,,0.375,0.08125373522440592,0.22619778315226238,0.8277777777777777,0.01,0.0001,1.3366322219371796,0.08125373721122742,0.24611531694730124,0.15347242603699365
8,-0.10314735770225525,0.7817299962043762,-0.12453036308288574,0.6883316516876221,32,,0.675,0.017889549334843952,0.10142199198404948,0.9347222222222222,0.01,0.0001,0.329554907977581,0.017889549024403095,0.22996648649374643,0.12378243232766788
16,-0.07310957461595535,0.6662094593048096,-0.12463128566741943,0.7765191078186036,70,,0.8916666666666667,0.012701001763343812,0.08297689755757649,0.9652777777777778,0.01,0.0001,0.5976461128642162,0.012701001716777682,0.2495984584093094,0.1751867594818274
32,-0.10141213983297348,0.6395386457443237,-0.09240387678146363,0.598802900314331,38,,0.875,0.014501394828160603,0.08679658571879069,0.9708333333333333,0.01,0.0001,0.220805070673426,0.014501395169645548,0.41959449648857117,0.16494576881329218
64,-0.13824789226055145,0.753986656665802,-0.12798360586166382,0.7932133197784423,81,,0.8583333333333333,0.019474109013875324,0.10749413172403971,0.9694444444444444,0.01,0.0001,0.18265694503982863,0.01947410823777318,0.23954313496748605,0.3086622506380081
128,-0.10490196943283081,0.747861921787262,-0.13736212253570557,0.7347894191741944,30,,0.8416666666666667,0.023315914471944175,0.12256779670715331,0.9708333333333333,0.01,0.0001,0.1797850721826156,0.023315913354357082,0.17573124170303345,0.2602463352183501
2,-0.06537535786628723,0.32774123549461365,-0.05954267978668213,0.3444182872772217,85,,0.0,0.10460177262624105,0.2548436482747396,0.6166666666666667,0.01,0.0001,1.2836977740128834,0.10460177374382813,0.7280657341082891,0.04798799535880486
4,-0.1416916400194168,0.40476059913635254,-0.1629759430885315,0.4525782585144043,88,,0.36666666666666664,0.07253352801005046,0.22153584162394205,0.8291666666666667,0.01,0.0001,1.3958225349585216,0.07253352552652359,0.6394600768884023,0.10317795599500339
8,-0.1370639204978943,0.6674763560295105,-0.13383007049560547,0.5867818832397461,58,,0.7333333333333333,0.016376525163650513,0.09968509674072265,0.9208333333333333,0.01,0.0001,0.709792343278726,0.01637652493081987,0.380905345082283,0.10054109307626884
16,-0.24479074776172638,0.4359249174594879,-0.20678067207336426,0.530759859085083,56,,0.825,0.01229288379351298,0.08621134757995605,0.9652777777777778,0.01,0.0001,0.26292420240739983,0.012292884911100069,0.568781112631162,0.13583220541477203
32,-0.16594141721725464,0.6521379351615906,-0.1445253849029541,0.6341828346252442,68,,0.8083333333333333,0.01931533416112264,0.10714508692423502,0.9541666666666667,0.01,0.0001,0.357161949078242,0.01931533558915059,0.3308245688676834,0.15186019303898016
64,-0.15610769391059875,0.5968721508979797,-0.17293376922607423,0.6209044456481934,39,,0.925,0.013362654050191243,0.09210028648376464,0.9875,0.01,0.0001,0.057312497248252235,0.013362654329588016,0.42848903437455493,0.17336645101507506
128,-0.16607093811035156,0.6786856651306152,-0.1809820055961609,0.6882691383361816,90,,0.7666666666666667,0.02793883482615153,0.1323667844136556,0.9583333333333334,0.01,0.0001,0.17184274271130562,0.02793883578851819,0.3624379336833954,0.23095813890298209
2,-0.0659351646900177,0.8783754706382751,-0.0553702175617218,0.8353372573852539,97,,0.15833333333333333,0.062083240350087485,0.20201168060302735,0.6819444444444445,0.01,0.0001,0.9478585124015808,0.062083239356676735,0.11051298677921295,0.13307867726931968
