latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate
2,-0.15286479890346527,0.7162761688232422,-0.08805506229400635,0.7600691795349122,94,,0.4666666666666667,0.08990426858266194,0.2545976161956787,0.8361111111111111,0.01
4,-0.1413966417312622,0.4255965054035187,-0.1589341402053833,0.37544171810150145,26,,0.875,0.08446923891703288,0.22139461835225424,0.9555555555555556,0.01
8,-0.0684390440583229,0.8467278480529785,-0.06453291773796081,0.7230390548706055,99,,0.9333333333333333,0.005472345153490702,0.05405124425888062,0.9638888888888889,0.01
16,-0.19925029575824738,0.5137749910354614,-0.16928714513778687,0.5007862567901611,71,,0.9083333333333333,0.006300798058509827,0.06072739760080973,0.9680555555555556,0.01
32,-0.12127476185560226,0.7343478202819824,-0.13153892755508423,0.8413860321044921,73,,0.8916666666666667,0.007149496177832285,0.057131195068359376,0.9513888888888888,0.01
64,-0.034610483795404434,0.8113084435462952,-0.050650352239608766,0.7221946239471435,75,,0.9083333333333333,0.01309190591176351,0.07285988330841064,0.9694444444444444,0.01
128,-0.08517462015151978,0.8851081728935242,-0.08055094480514527,0.7053690910339355,65,,0.925,0.003567682206630707,0.04177167018254598,0.9833333333333333,0.01
2,-0.12051572650671005,0.36771848797798157,-0.12944213151931763,0.4365677833557129,89,,0.25,0.09216242631276449,0.24989906946818033,0.7305555555555555,0.01
4,-0.10274673253297806,0.6364311575889587,-0.10552616119384765,0.5934088230133057,62,,0.8333333333333334,0.09408758481343588,0.24562397003173828,0.95,0.01
8,-0.15384425222873688,0.6192861199378967,-0.14601731300354004,0.6106164455413818,65,,0.875,0.021411645412445068,0.08967049916585286,0.9625,0.01
16,-0.11954029649496078,0.5465862154960632,-0.12452476024627686,0.5654195785522461,87,,0.8666666666666667,0.010729394356409709,0.08192934989929199,0.9625,0.01
32,-0.14194819331169128,0.6474452018737793,-0.1338254451751709,0.523227596282959,80,,0.9416666666666667,0.02626891533533732,0.12526861826578775,0.9902777777777778,0.01
64,-0.17481935024261475,0.7300874590873718,-0.14035544395446778,0.7236135005950928,64,,0.9416666666666667,0.019123178720474244,0.10096843242645263,0.9888888888888889,0.01
128,-0.1620180904865265,0.4773104190826416,-0.15477522611618041,0.5737529754638672,69,,0.3333333333333333,0.08966464201609294,0.24081284205118816,0.7972222222222223,0.01
2,-0.027944883331656456,0.4320964813232422,-0.055240398645401,0.537414836883545,72,,0.4,0.10014370282491049,0.2450762907663981,0.8180555555555555,0.01
4,-0.10796809941530228,0.8267472386360168,-0.09658597707748413,0.7829925537109375,48,,0.9333333333333333,0.07355944315592448,0.2263976256052653,0.9805555555555555,0.01
8,-0.06118905916810036,0.5713069438934326,-0.07615979313850403,0.48413896560668945,68,,0.5666666666666667,0.055780994892120364,0.19994751612345377,0.9,0.01
16,-0.13911212980747223,0.7324473857879639,-0.12602264881134034,0.7430635452270508,56,,0.9083333333333333,0.004738516608874003,0.03713671763737996,0.9763888888888889,0.01
32,-0.1299215406179428,0.8149610161781311,-0.11294604539871216,0.7754401683807373,97,,0.9083333333333333,0.014801659186681112,0.09448506832122802,0.9708333333333333,0.01
64,-0.15306372940540314,0.5640184879302979,-0.16431701183319092,0.5367961883544922,41,,0.8833333333333333,0.004263759652773539,0.047635364532470706,0.9652777777777778,0.01
128,-0.11004036664962769,0.7393426895141602,-0.1484466314315796,0.7359910488128663,69,,0.8083333333333333,0.12624421914418538,0.25419362386067706,0.9625,0.01
2,-0.09321993589401245,0.4941622316837311,-0.07728387117385864,0.5113454341888428,99,,0.26666666666666666,0.20889231363932292,0.3274054209391276,0.7819444444444444,0.01
4,-0.10083585977554321,0.28388339281082153,-0.1248852252960205,0.309452748298645,64,,0.6083333333333333,0.08491693337758383,0.2374233881632487,0.8875,0.01
8,-0.0698399767279625,0.9612455368041992,-0.09237453937530518,0.9254412651062012,92,,0.875,0.006387251118818919,0.04954393307367961,0.9625,0.01
16,-0.17688369750976562,0.46675610542297363,-0.16837304830551147,0.6743873596191406,91,,0.875,0.005438409248987834,0.05900619824727376,0.9777777777777777,0.01
32,-0.094948410987854,0.72843337059021,-0.0932896077632904,0.8537063598632812,59,,0.85,0.007407032450040181,0.05974611838658651,0.9680555555555556,0.01
64,-0.114926777780056,0.8045554161071777,-0.09504814147949218,0.8468880653381348,75,,0.9083333333333333,0.009987199306488037,0.07174628575642904,0.9708333333333333,0.01
128,-0.11314483731985092,0.9271413683891296,-0.10925924777984619,0.907235050201416,63,,0.8833333333333333,0.02895535628000895,0.11645530859629313,0.975,0.01
